City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
644,Awbari,LY,78.44,clear sky,26.5921,12.7805,فندق أوباري
646,Vavuniya,LK,80.31,overcast clouds,8.7514,80.4971,Thampa Hotel
648,Hambantota,LK,82.44,overcast clouds,6.1241,81.1185,Bungalow 63
651,Wittingen,DE,64.4,clear sky,52.7269,10.7361,Piep Landgasthaus Übernachtungsservice
653,Sao Bento Do Sul,BR,62.24,clear sky,-26.2503,-49.3786,Serra Alta Hotel
654,Ghanzi,BW,64.09,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
656,Estelle,US,88.0,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
661,Muroto,JP,64.94,overcast clouds,33.2833,134.15,Oota Ryokan
662,Khuzdar,PK,84.87,broken clouds,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
663,Millau,FR,69.93,overcast clouds,44.0833,2.9167,La Villa Des Raspes
665,Marolambo,MG,67.66,moderate rain,-20.05,48.1167,local guide suport centre
666,Robertsganj,IN,87.08,clear sky,24.7,83.0667,Prem Hotel Lodge & Restaurant
669,Kerman,IR,74.66,broken clouds,30.2832,57.0788,هتل آپارتمان آسام
670,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
672,Porbandar,IN,82.56,clear sky,21.6422,69.6093,Lords Inn Porbandar
673,Santa Rosa,PH,84.18,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
674,Rong Kwang,TH,76.12,light rain,18.339,100.3174,Rong Kwang Hotel
677,Saint-Francois,FR,72.84,clear sky,46.4154,3.9054,Manoir Du Bonheur
678,Payo,ID,74.91,overcast clouds,-3.7508,103.6372,Mess keban agung
679,Ponta Delgada,PT,68.72,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
681,Sulangan,PH,82.58,broken clouds,11.1373,123.7228,Maia's Beach Resort
