City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Dzilam Gonzalez,MX,21.2833,-88.9333,100.42,36,1,4.47,clear sky
306,Bethel,US,41.3712,-73.414,59.65,48,100,4.0,overcast clouds
307,Nizhniy Odes,RU,63.6445,54.856,49.66,63,51,10.07,broken clouds
308,Zhezkazgan,KZ,47.8043,67.7144,57.36,27,75,17.31,broken clouds
309,Goedereede,NL,51.8175,3.9806,62.98,67,0,5.01,clear sky
310,Coffs Harbour,AU,-30.3,153.1333,57.16,77,16,9.22,few clouds
311,Provideniya,RU,64.3833,-173.3,31.1,96,99,6.51,light snow
312,Hartford,US,41.7668,-72.7662,60.04,39,100,11.99,overcast clouds
313,Ahipara,NZ,-35.1667,173.1667,60.71,91,90,6.76,overcast clouds
314,Charters Towers,AU,-20.1,146.2667,66.96,96,100,12.97,overcast clouds
315,Skjervoy,NO,70.0311,20.9714,35.6,65,100,28.39,overcast clouds
316,Kwinana,AU,-32.25,115.7667,58.8,90,0,7.96,clear sky
317,La Ronge,CA,55.1001,-105.2842,50.25,37,75,19.57,broken clouds
318,Palmer,US,42.1584,-72.3287,60.62,33,100,7.0,overcast clouds
319,Tonj,SS,7.2737,28.6822,77.61,68,99,6.82,overcast clouds
320,Hovd,MN,48.0056,91.6419,38.32,51,34,11.25,scattered clouds
321,Axim,GH,4.8699,-2.2405,81.91,78,100,10.8,overcast clouds
322,Vardo,NO,70.3705,31.1107,31.98,69,0,16.11,clear sky
323,Tilichiki,RU,60.4667,166.1,25.57,90,97,3.2,overcast clouds
324,Coruripe,BR,-10.1256,-36.1756,82.35,66,36,11.61,scattered clouds
325,Barcelona,ES,41.3888,2.159,74.19,58,20,8.05,few clouds
326,Xiongzhou,CN,25.1167,114.3,69.4,97,92,1.86,overcast clouds
327,Qasigiannguit,GL,68.8193,-51.1922,24.94,76,6,3.4,clear sky
328,Manama,BH,26.2154,50.5832,80.78,46,0,14.97,clear sky
329,Moscow,RU,55.7522,37.6156,55.58,87,100,8.9,light rain
330,Yamada,JP,39.4667,141.95,46.98,80,100,4.43,overcast clouds
331,Kachug,RU,53.9606,105.8817,33.28,59,98,9.62,overcast clouds
332,Kyzyl,RU,51.7,94.45,35.51,47,33,12.46,scattered clouds
333,Muros,ES,42.7762,-9.0603,83.68,52,15,3.85,few clouds
334,Haridwar,IN,29.9667,78.1667,81.61,24,3,5.35,clear sky
335,Nieuw Amsterdam,SR,5.8833,-55.0833,90.14,58,40,9.22,scattered clouds
336,Celestun,MX,20.8667,-90.4,91.6,55,0,7.34,clear sky
337,Seoul,KR,37.5683,126.9778,53.2,82,0,9.22,clear sky
338,Atar,MR,20.5169,-13.0499,104.97,10,58,5.01,broken clouds
339,Bogorodskoye,RU,56.55,37.8833,45.86,93,100,7.25,overcast clouds
340,Wanning,CN,18.8003,110.3967,75.72,88,93,2.33,light rain
341,Mount Gambier,AU,-37.8333,140.7667,39.11,100,100,5.75,fog
342,Cordoba,AR,-31.4135,-64.1811,76.05,47,75,14.97,broken clouds
343,Portland,US,45.5234,-122.6762,48.24,86,94,3.0,light rain
344,Alim,PH,9.5649,122.4876,81.3,77,59,10.11,broken clouds
345,Bendigo,AU,-36.7667,144.2833,45.64,58,45,4.34,scattered clouds
